Address,Quality,Size,Name
0x0000007100000030,U,000316,_init
0x0000007100000170,U,000052,_fini
0x00000071000001c0,U,000008,FUN_71000001c0
0x00000071000001e0,U,000004,__nnDetailNintendoSdkRuntimeObjectFileRefer
0x00000071000001f0,U,000012,nndetailRoGetRoDataStart
0x0000007100000200,U,000012,nndetailRoGetRoDataEnd
0x0000007100000210,U,000004,__nnDetailNintendoSdkRuntimeObjectFile
0x0000007100000220,U,000004,__nnDetailNintendoSdkNsoFileRefer
0x0000007100000230,U,000004,nnDetailNintendoSdkDeadStripChecker
0x0000007100000240,U,000136,_ZN22AutoSwitchActivateAreaC2EPKc
0x00000071000002d0,U,000136,_ZN22AutoSwitchActivateAreaC1EPKc
0x0000007100000360,U,000152,_ZN22AutoSwitchActivateArea4initERKN2al13ActorInitInfoE
0x0000007100000400,U,000004,_ZN4sead14SafeStringBaseIcED2Ev
0x0000007100000410,U,000004,_ZN22AutoSwitchActivateArea7controlEv
0x0000007100000420,U,000252,_ZN22AutoSwitchActivateArea14exePlayerCheckEv
0x0000007100000520,U,000004,_ZN22AutoSwitchActivateArea7exeIdleEv
0x0000007100000530,U,000004,_ZN22AutoSwitchActivateArea8calcAnimEv
0x0000007100000540,U,000008,_ZNK2al9LiveActor14getNerveKeeperEv
0x0000007100000550,U,000004,_ZN2al9LiveActor4initERKNS_13ActorInitInfoE
0x0000007100000560,U,000004,_ZN2al9LiveActor26registerSwitchAreaDirectorEPNS_18SwitchAreaDirectorE
0x0000007100000570,U,000004,_ZN2al9LiveActor8reappearEv
0x0000007100000580,U,000008,_ZNK2al9LiveActor14isForcedHiddenEv
0x0000007100000590,U,000004,_ZN2al9LiveActor12attackSensorEPNS_9HitSensorES2_
0x00000071000005a0,U,000008,_ZNK2al9LiveActor14getOwnerSensorEv
0x00000071000005b0,U,000008,_ZN2al9LiveActor10receiveMsgEPKNS_9SensorMsgEPNS_9HitSensorES5_
0x00000071000005c0,U,000008,_ZN2al9LiveActor21receiveMsgScreenPointEPKNS_9SensorMsgEPNS_13ScreenPointerEPNS_17ScreenPointTargetE
0x00000071000005d0,U,000008,_ZNK2al9LiveActor7getNameEv
0x00000071000005e0,U,000008,_ZNK2al9LiveActor15getEffectKeeperEv
0x00000071000005f0,U,000008,_ZNK2al9LiveActor14getAudioKeeperEv
0x0000007100000600,U,000008,_ZNK2al9LiveActor20getStageSwitchKeeperEv
0x0000007100000610,U,000008,_ZNK2al9LiveActor35isMovePartDisableStaticTouchEffectsEv
0x0000007100000620,U,000004,_ZN2al9LiveActor7controlEv
0x0000007100000630,U,000004,_ZN2al9LiveActor17calcAndSetBaseMtxEv
0x0000007100000640,U,000020,_ZTv0_n24_NK2al9LiveActor7getNameEv
0x0000007100000660,U,000008,_ZThn24_NK2al9LiveActor20getStageSwitchKeeperEv
0x0000007100000670,U,000016,_ZN22AutoSwitchActivateAreaD1Ev
0x0000007100000680,U,000048,_ZN22AutoSwitchActivateAreaD0Ev
0x00000071000006b0,U,000008,_ZThn8_NK2al9LiveActor15getEffectKeeperEv
0x00000071000006c0,U,000008,_ZThn16_NK2al9LiveActor14getAudioKeeperEv
0x00000071000006e0,U,000004,_ZNK2al5Nerve12executeOnEndEPNS_11NerveKeeperE
0x00000071000006f0,U,000004,FUN_71000006f0
0x0000007100000700,U,000004,_ZN4sead14SafeStringBaseIcED0Ev
0x0000007100000710,U,000004,_ZNK4sead14SafeStringBaseIcE22assureTerminationImpl_Ev
0x0000007100000720,U,000140,_ZN26AutoSwitchBlockWatcherAreaC2EPKc
0x00000071000007b0,U,000140,_ZN26AutoSwitchBlockWatcherAreaC1EPKc
